x,y
200,149
200,149
199,147
199,147
197,145
197,145
197,146
197,146
195,144
195,144
194,144
194,144
193,143
193,143
193,143
193,143
192,143
192,143
191,143
191,143
191,143
191,143
190,143
190,143
190,144
190,144
190,143
190,143
191,144
191,144
191,144
191,144
191,144
191,144
191,144
191,144
191,144
191,144
191,145
191,145
191,145
191,145
191,145
191,145
191,145
191,145
191,145
191,145
191,146
191,146
191,146
191,146
191,147
191,147
193,147
193,147
193,147
193,147
194,147
194,147
195,147
195,147
195,148
195,148
196,148
196,148
197,147
197,147
198,147
198,147
200,148
200,148
202,148
202,148
203,148
203,148
205,148
205,148
206,149
206,149
207,149
207,149
207,149
207,149
208,149
208,149
209,149
209,149
210,149
210,149
211,149
211,149
211,150
211,150
212,150
212,150
212,150
212,150
212,151
212,151
212,151
212,151
212,151
212,151
212,151
212,151
212,151
212,151
212,151
212,151
212,151
212,151
212,151
212,151
212,151
212,151
212,151
212,151
212,151
212,151
